 Coleta de lixo - Brasil
Moradores por Município
Período:2010
"Município";"Moradores"
"210100 ARARI";28406
"210110 AXIXA";11391
"210120 BACABAL";99729
"210125 BACABEIRA";14896
"210130 BACURI";16563
"210135 BACURITUBA";5285
"210140 BALSAS";83154
"210150 BARAO DE GRAJAU";17816
"210160 BARRA DO CORDA";82583
"210170 BARREIRINHAS";54476
"210173 BELAGUA";6477
"210177 BELA VISTA DO MARANHAO";12023
"210180 BENEDITO LEITE";5442
"210190 BEQUIMAO";20299
"210193 BERNARDO DO MEARIM";5927
"210197 BOA VISTA DO GURUPI";7884
"210200 BOM JARDIM";38922
"210203 BOM JESUS DAS SELVAS";28088
"210207 BOM LUGAR";14787
"210210 BREJO";33269
"210215 BREJO DE AREIA";5562
"210220 BURITI";26942
"210230 BURITI BRAVO";22871
"210232 BURITICUPU";65010
"210235 BURITIRANA";14738
"210237 CACHOEIRA GRANDE";8432
"210240 CAJAPIO";10569
"210250 CAJARI";18286
"210255 CAMPESTRE DO MARANHAO";13323
"210260 CANDIDO MENDES";18430
"210270 CANTANHEDE";20442
"210275 CAPINZAL DO NORTE";10686
"210280 CAROLINA";23834
"210290 CARUTAPERA";21929
"210300 CAXIAS";154664
"210310 CEDRAL";10265
"210312 CENTRAL DO MARANHAO";7861
"210315 CENTRO DO GUILHERME";12532
"210317 CENTRO NOVO DO MARANHAO";17556
"210320 CHAPADINHA";73155
"210325 CIDELANDIA";13653
"210330 CODO";117807
"210340 COELHO NETO";46674
"210350 COLINAS";39042
"210355 CONCEICAO DO LAGO-ACU";14404
"210360 COROATA";61624
"210370 CURURUPU";32567
"210375 DAVINOPOLIS";12549
"210380 DOM PEDRO";22625
"210390 DUQUE BACELAR";10640
"210400 ESPERANTINOPOLIS";18403
"210405 ESTREITO";34520
"210407 FEIRA NOVA DO MARANHAO";8094
"210408 FERNANDO FALCAO";9227
"210409 FORMOSA DA SERRA NEGRA";17695
"210410 FORTALEZA DOS NOGUEIRAS";11623
"210420 FORTUNA";15064
"210430 GODOFREDO VIANA";10410
"210440 GONCALVES DIAS";17435
"210450 GOVERNADOR ARCHER";10190
"210455 GOVERNADOR EDISON LOBAO";15840
"210460 GOVERNADOR EUGENIO BARROS";15963
"210462 GOVERNADOR LUIZ ROCHA";7323
"210465 GOVERNADOR NEWTON BELLO";11889
"210467 GOVERNADOR NUNES FREIRE";25377
"210470 GRACA ARANHA";6121
"210480 GRAJAU";61876
"210490 GUIMARAES";12051
"210500 HUMBERTO DE CAMPOS";26166
"210510 ICATU";25114
"210515 IGARAPE DO MEIO";12526
"210520 IGARAPE GRANDE";11028
"210530 IMPERATRIZ";246360
"210535 ITAIPAVA DO GRAJAU";14256
"210540 ITAPECURU MIRIM";61975
"210542 ITINGA DO MARANHAO";24807
"210545 JATOBA";8521
"210547 JENIPAPO DOS VIEIRAS";15412
"210550 JOAO LISBOA";20337
"210560 JOSELANDIA";15408
"210565 JUNCO DO MARANHAO";4014
"210570 LAGO DA PEDRA";45946
"210580 LAGO DO JUNCO";10718
"210590 LAGO VERDE";15405
"210592 LAGOA DO MATO";10923
"210594 LAGO DOS RODRIGUES";7779
"210596 LAGOA GRANDE DO MARANHAO";10483
"210598 LAJEADO NOVO";6903
"210600 LIMA CAMPOS";11405
"210610 LORETO";11371
"210620 LUIS DOMINGUES";6474
"210630 MAGALHAES DE ALMEIDA";17471
"210632 MARACACUME";19080
"210635 MARAJA DO SENA";8049
"210637 MARANHAOZINHO";14039
"210640 MATA ROMA";15121
"210650 MATINHA";21831
"210660 MATOES";30947
"210663 MATOES DO NORTE";13724
"210667 MILAGRES DO MARANHAO";8101
"210670 MIRADOR";20422
"210675 MIRANDA DO NORTE";24388
"210680 MIRINZAL";14141
"210690 MONCAO";31700
"210700 MONTES ALTOS";9384
"210710 MORROS";17748
"210720 NINA RODRIGUES";12460
"210725 NOVA COLINAS";4871
"210730 NOVA IORQUE";4579
"210735 NOVA OLINDA DO MARANHAO";19085
"210740 OLHO D'AGUA DAS CUNHAS";18565
"210745 OLINDA NOVA DO MARANHAO";13158
"210750 PACO DO LUMIAR";104858
"210760 PALMEIRANDIA";18757
"210770 PARAIBANO";20055
"210780 PARNARAMA";34531
"210790 PASSAGEM FRANCA";17483
"210800 PASTOS BONS";18017
"210805 PAULINO NEVES";14485
"210810 PAULO RAMOS";19986
"210820 PEDREIRAS";39255
"210825 PEDRO DO ROSARIO";22668
"210830 PENALVA";34185
"210840 PERI MIRIM";13780
"210845 PERITORO";21183
"210850 PINDARE-MIRIM";31059
"210860 PINHEIRO";77890
